BIN ID,Date,TIME,WEEK NO,FILL LEVEL(IN LITRES),TOTAL(LITRES),FILL PERCENTAGE,LOCATION ,LATITUDE,LONGITUDE,TEMPERATURE( IN ⁰C),BATTERY LEVEL ,FILL LEVEL INDICATOR(Above 550)
BIN 1,10/1/2021,12:00:00 AM,1,5,660,1%,MANAPAKKAM,13.0213° N,80.1832° E,24,100%,FALSE
BIN 1,10/1/2021,01:00:00 AM,1,29,660,4%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,100%,FALSE
BIN 1,10/1/2021,02:00:00 AM,1,53,660,8%,MANAPAKKAM,13.0213° N,80.1832° E,24.6,100%,FALSE
BIN 1,10/1/2021,03:00:00 AM,1,77,660,12%,MANAPAKKAM,13.0213° N,80.1832° E,24.8,100%,FALSE
BIN 1,10/1/2021,04:00:00 AM,1,101,660,15%,MANAPAKKAM,13.0213° N,80.1832° E,25,100%,FALSE
BIN 1,10/1/2021,05:00:00 AM,1,125,660,19%,MANAPAKKAM,13.0213° N,80.1832° E,26.2,100%,FALSE
BIN 1,10/1/2021,06:00:00 AM,1,149,660,23%,MANAPAKKAM,13.0213° N,80.1832° E,27,100%,FALSE
BIN 1,10/1/2021,07:00:00 AM,1,173,660,26%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,100%,FALSE
BIN 1,10/1/2021,08:00:00 AM,1,197,660,30%,MANAPAKKAM,13.0213° N,80.1832° E,28.3,100%,FALSE
BIN 1,10/1/2021,09:00:00 AM,1,221,660,33%,MANAPAKKAM,13.0213° N,80.1832° E,29,100%,FALSE
BIN 1,10/1/2021,10:00:00 AM,1,245,660,37%,MANAPAKKAM,13.0213° N,80.1832° E,32,100%,FALSE
BIN 1,10/1/2021,11:00:00 AM,1,269,660,41%,MANAPAKKAM,13.0213° N,80.1832° E,34,100%,FALSE
BIN 1,10/1/2021,12:00:00 PM,1,293,660,44%,MANAPAKKAM,13.0213° N,80.1832° E,36.8,100%,FALSE
BIN 1,10/1/2021,01:00:00 PM,1,317,660,48%,MANAPAKKAM,13.0213° N,80.1832° E,38.9,100%,FALSE
BIN 1,10/1/2021,02:00:00 PM,1,341,660,52%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,100%,FALSE
BIN 1,10/1/2021,03:00:00 PM,1,365,660,55%,MANAPAKKAM,13.0213° N,80.1832° E,40.4,100%,FALSE
BIN 1,10/1/2021,04:00:00 PM,1,389,660,59%,MANAPAKKAM,13.0213° N,80.1832° E,40.8,100%,FALSE
BIN 1,10/1/2021,05:00:00 PM,1,413,660,63%,MANAPAKKAM,13.0213° N,80.1832° E,42.5,100%,FALSE
BIN 1,10/1/2021,06:00:00 PM,1,437,660,66%,MANAPAKKAM,13.0213° N,80.1832° E,37.3,100%,FALSE
BIN 1,10/1/2021,07:00:00 PM,1,461,660,70%,MANAPAKKAM,13.0213° N,80.1832° E,37.8,100%,FALSE
BIN 1,10/1/2021,08:00:00 PM,1,485,660,73%,MANAPAKKAM,13.0213° N,80.1832° E,37.5,100%,FALSE
BIN 1,10/1/2021,09:00:00 PM,1,509,660,77%,MANAPAKKAM,13.0213° N,80.1832° E,37,100%,FALSE
BIN 1,10/1/2021,10:00:00 PM,1,533,660,81%,MANAPAKKAM,13.0213° N,80.1832° E,36.5,100%,FALSE
BIN 1,10/1/2021,11:00:00 PM,1,557,660,84%,MANAPAKKAM,13.0213° N,80.1832° E,32,100%,TRUE
BIN 1,10/2/2021,12:00:00 AM,1,6,660,1%,MANAPAKKAM,13.0213° N,80.1832° E,30,100%,FALSE
BIN 1,10/2/2021,01:00:00 AM,1,32,660,5%,MANAPAKKAM,13.0213° N,80.1832° E,31.2,100%,FALSE
BIN 1,10/2/2021,02:00:00 AM,1,58,660,9%,MANAPAKKAM,13.0213° N,80.1832° E,31.2,100%,FALSE
BIN 1,10/2/2021,03:00:00 AM,1,84,660,13%,MANAPAKKAM,13.0213° N,80.1832° E,31.8,100%,FALSE
BIN 1,10/2/2021,04:00:00 AM,1,110,660,17%,MANAPAKKAM,13.0213° N,80.1832° E,33.1,100%,FALSE
BIN 1,10/2/2021,05:00:00 AM,1,136,660,21%,MANAPAKKAM,13.0213° N,80.1832° E,33.8,100%,FALSE
BIN 1,10/2/2021,06:00:00 AM,1,162,660,25%,MANAPAKKAM,13.0213° N,80.1832° E,37.3,100%,FALSE
